ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer,ninos_hogar
74,0,13.0,0,1,0,0,0,8.0,0,0
5,1,0.0,0,1,0,1,1,16.0,1,1
65,1,8.0,0,1,0,0,0,8.0,0,0
57,0,13.0,1,1,0,0,0,8.0,0,0
37,0,17.0,1,1,0,1,1,17.0,1,0
45,0,15.0,0,1,0,0,0,15.0,1,0
59,1,15.0,1,1,0,0,0,15.0,1,0
76,0,13.0,0,1,0,1,0,13.0,1,0
78,1,13.0,0,1,0,1,0,13.0,1,0
63,1,13.0,0,1,1,1,0,13.0,0,1
47,0,13.0,1,1,1,1,0,13.0,0,1
17,1,12.0,0,1,1,1,0,13.0,0,1
10,1,5.0,0,1,1,1,0,13.0,0,1
39,1,13.0,0,0,0,1,0,13.0,0,2
38,0,16.0,1,1,0,1,0,13.0,0,2
11,0,6.0,0,1,0,1,0,13.0,0,2
2,0,0.0,0,1,0,1,0,13.0,0,2
35,0,10.0,0,0,1,1,0,10.0,1,4
38,1,11.0,1,0,1,1,0,10.0,1,4
14,0,10.0,0,0,1,1,0,10.0,1,4
11,0,8.0,0,0,1,1,0,10.0,1,4
7,1,2.0,0,0,1,1,0,10.0,1,4
51,0,16.0,1,1,0,1,1,16.0,1,0
33,1,12.0,1,1,0,1,1,12.0,0,0
67,0,19.0,0,1,0,1,0,19.0,1,0
45,0,16.0,1,1,0,1,1,16.0,1,0
45,1,13.0,1,1,0,1,1,16.0,1,0
25,0,13.0,1,1,0,1,1,13.0,1,0
21,1,11.0,1,1,0,1,1,13.0,1,0
11,0,6.0,0,0,1,1,0,5.0,0,1
34,0,14.0,1,1,0,1,1,14.0,1,0
35,1,14.0,1,1,0,1,1,14.0,1,0
34,1,23.0,1,1,0,0,1,23.0,0,2
34,0,19.0,1,1,0,0,1,23.0,0,2
4,1,0.0,0,1,0,1,1,23.0,0,2
1,0,0.0,0,1,0,1,1,23.0,0,2
37,0,23.0,1,1,0,0,1,23.0,1,1
34,1,23.0,0,1,0,0,1,23.0,1,1
1,1,0.0,0,1,0,1,1,23.0,1,1
25,1,16.0,1,1,0,1,1,16.0,0,0
37,0,13.0,0,1,0,0,0,13.0,1,1
37,1,13.0,1,1,0,0,0,13.0,1,1
7,0,3.0,0,1,0,1,0,13.0,1,1
69,1,16.0,0,1,0,0,0,16.0,0,0
61,0,16.0,0,1,0,0,0,16.0,0,0
41,0,16.0,1,1,0,1,1,16.0,1,0
52,1,11.0,1,1,0,1,1,11.0,0,0
67,1,8.0,0,1,0,1,0,8.0,0,0
29,0,15.0,0,0,0,1,1,16.0,0,0
84,0,0.0,0,1,0,1,0,0.0,1,0
44,1,8.0,1,0,0,1,0,0.0,1,0
16,1,9.0,0,1,0,1,0,0.0,1,0
47,0,13.0,1,1,1,0,1,13.0,1,1
49,1,13.0,0,1,1,0,1,13.0,1,1
26,1,13.0,1,1,1,1,1,13.0,1,1
25,1,13.0,0,1,1,1,1,13.0,1,1
24,0,15.0,0,1,1,1,1,13.0,1,1
6,0,1.0,0,1,1,1,1,13.0,1,1
66,0,13.0,0,1,0,1,0,13.0,1,0
48,0,13.0,1,0,1,1,1,13.0,1,1
35,1,14.0,1,1,0,1,1,14.0,0,1
8,1,4.0,0,1,0,1,1,14.0,0,1
65,0,8.0,0,1,0,1,0,8.0,1,0
14,1,9.0,0,0,1,1,1,13.0,1,1
75,1,3.0,0,1,0,0,0,3.0,0,0
73,0,4.0,0,1,0,0,0,3.0,0,0
54,1,4.0,0,0,1,1,0,4.0,0,0
27,0,5.0,1,0,1,1,0,4.0,0,0
49,1,11.0,1,1,0,1,1,11.0,0,0
50,0,16.0,1,1,0,1,1,11.0,0,0
22,1,13.0,0,0,0,1,1,11.0,0,0
17,1,13.0,0,1,0,1,1,11.0,0,0
